headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
"In Stories From an Argentine Surrealist, Circles of Madness and Violence","Samanta Schweblin’s collection “Mouthful of Birds” offers parodies of work and family life, with characters who constantly talk themselves out of perceived reality.","In the 1940s, the great pediatrician and psychoanalyst Donald Winnicott became a regular at a small London bookshop. Biographies were his chief interest. It didn’t matter whose; he read them all — books about soldiers, scientists, actors. Amazed, the bookseller once asked him how he kept up such a pace.","Schweblin, Samanta",Review,"1940s, great, pediatrician","['psychoanalyst', 'donald', 'winnicott', 'regular', 'london', 'bookshop', 'biographi', 'interest', 'matter', 'book', 'soldier', 'scientist', 'actor', 'booksel', 'pace']","samanta, schweblin, collection","['schweblin', '’', 'collect', '“', 'mouth', 'bird', '”', 'parodi', 'work', 'famili', 'life', 'charact', 'realiti']","story, argentine, surrealist","['stori', 'surrealist', 'circl', 'mad', 'violenc']"
Will 2019 Be a Good Year for Investors? Here Are 4 Key Factors Affecting Stocks and the Economy,"After an unexpectedly bad year for the stock market, investors are eager for clues about what 2019 will bring.","After an unexpectedly bad year for the stock market, investors are eager for clues about what 2019 will bring.",Stocks and Bonds,Interactive Feature,"unexpectedly, bad, year","['year', 'stock', 'market', 'investor', 'clue']","unexpectedly, bad, year","['year', 'stock', 'market', 'investor', 'clue']","2019, good, year","['year', 'investor', 'factor', 'stock', 'economi']"
"‘The People Making It Are Indigenous, but Indigenous Is Not a Genre’",The weeklong First Nations Dialogues sets out to challenge the idea that Indigenous performance fits any single description.,"For the Brooklyn-born playwright Muriel Miguel, a founder of the Native American feminist collective Spiderwoman Theater, the word diversity raises suspicions.",Theater,News,"brooklyn, born, playwright","['playwright', 'muriel', 'founder', 'feminist', 'spiderwoman', 'theater', 'word', 'diver', 'suspicion']","weeklong, first, nation","['weeklong', 'nation', 'dialogu', 'set', 'idea', 'perform', 'descript']","indigenous, people, making","['peopl', 'genr', '’']"
"After an Attack by Zealots, an Indian Family Seeks Asylum","Despite earning meager wages and living in a city shelter, a Christian family from India is grateful for safety.",A fractured collarbone. Spinal fractures. Head wounds.,New York Times Neediest Cases Fund,News,"fractured, collarbone, spinal","['collarbon', 'fractur', 'wound']","despite, earning, meager","['meager', 'wage', 'live', 'citi', 'shelter', 'famili', 'india', 'safeti']","attack, zealot, indian","['attack', 'zealot', 'famili', 'asylum']"
‘New Year Miracle’ in Russia: Baby Is Pulled From Rubble,A baby boy survived subzero temperatures overnight in the rubble of an apartment building that was badly damaged by an explosion linked to a gas leak.,"MOSCOW — Rescue workers pulled a 10-month-old baby boy alive from a partly collapsed apartment building in central Russia on Tuesday, calling him a “New Year miracle” after he survived in the rubble for more than 35 hours in freezing temperatures.",Rescues,News,"moscow, rescue, worker","['moscow', '—', 'rescu', 'worker', 'babi', 'apart', 'build', 'russia', '“', 'year', 'miracl', '”', 'rubbl', 'hour', 'temperatur']","baby, boy, survived","['babi', 'boy', 'temperatur', 'rubbl', 'apart', 'build', 'explos', 'ga', 'leak']","new, year, miracle","['year', 'miracl', '’', 'russia', 'babi']"
A 6-Pack of Beer for $26? Qatar Doubles the Price of Alcohol,Many countries have tried to regulate alcohol consumption by making drinking expensive. But the country added a 100 percent tax on Tuesday.,"Getting a beer has never been easy in Qatar. But buying a six-pack will now set you back at least $26, thanks to an alcohol tax that went into effect on Tuesday.",Qatar,News,"getting, beer, never","['beer', 'qatar', 'sixpack', 'thank', 'alcohol', 'tax', 'effect', 'tuesday']","country, many, tried","['countri', 'alcohol', 'consumpt', 'countri', 'percent', 'tax', 'tuesday']","6, pack, beer","['beer', 'qatar', 'price', 'alcohol']"
Why the West Coast Is Suddenly Beating the East Coast on Transportation,Subways in the Northeast are falling apart and losing riders. Cities on the West Coast are pouring money into their transportation networks.,[What you need to know to start the day: Get New York Today in your inbox.],Transit Systems,News,"need, know, start","['day', 'york', 'today', 'inbox']","subway, northeast, falling","['subway', 'northeast', 'rider', 'citi', 'west', 'coast', 'money', 'transport', 'network']","coast, west, suddenly","['west', 'coast', 'coast', 'transport']"
The Trump Tax Cut: Even Worse Than You’ve Heard,Skeptical reporting has still been too favorable.,"The 2017 tax cut has received pretty bad press, and rightly so. Its proponents made big promises about soaring investment and wages, and also assured everyone that it would pay for itself; none of that has happened.",Corporate Taxes,Op-Ed,"2017, tax, cut","['tax', 'cut', 'press', 'propon', 'promis', 'invest', 'wage', 'everyon', 'none']","skeptical, reporting, still",['report'],"trump, tax, cut","['trump', 'tax', 'cut', 'heard']"
"German Man Is Suspected of Attacking Foreigners, Using Car as Weapon","A 50-year-old man repeatedly drove into people celebrating the New Year intending to “kill foreigners,” German authorities said. Four people were hurt, one seriously.","BERLIN — Targeting foreigners, a man repeatedly drove his car at pedestrians celebrating New Year’s Eve in western Germany, injuring four people before being arrested, the police and prosecutors said Tuesday.",Germany,News,"berlin, targeting, foreigner","['berlin', '—', 'foreign', 'man', 'car', 'pedestrian', 'year', '’', 'germani', 'peopl', 'polic', 'prosecutor', 'tuesday']","year, people, 50","['man', 'peopl', 'year', 'intend', 'kill', 'foreign', 'author', 'peopl']","german, man, suspected","['man', 'foreign', 'car', 'weapon']"
2 Fishermen Die After Boat Capsizes on Westchester Reservoir,A fisherman on the Muscoot Reservoir made a grim discovery early New Year’s morning.,"Two friends from New York City were found dead in a reservoir in Westchester County early New Year’s morning after their fishing boat overturned, the authorities said.",Maritime Accidents and Safety,News,"new, two, friend","['friend', 'york', 'citi', 'reservoir', 'counti', 'year', '’', 'morn', 'fish', 'boat', 'author']","fisherman, muscoot, reservoir","['fisherman', 'muscoot', 'reservoir', 'discoveri', 'year', '’', 'morn']","2, fisherman, die","['fisherman', 'boat', 'capsiz', 'westchest', 'reservoir']"
Roger Federer Struggles With Serena Williams’s Serve. And Vice Versa.,"Federer and his partner, Belinda Bencic, beat Williams and Frances Tiafoe in mixed doubles. It was first time Federer and Williams have competed against each other.","PERTH, Australia — After nearly two decades of appearing alongside each other on billboards and in record books, Serena Williams and Roger Federer faced off across a tennis court for the first time on Tuesday.",Tennis,News,"perth, australia, nearly","['perth', 'australia', 'decad', 'billboard', 'record', 'book', 'william', 'roger', 'feder', 'tenni', 'court', 'time', 'tuesday']","federer, williams, partner","['feder', 'partner', 'belinda', 'bencic', 'beat', 'william', 'franc', 'doubl', 'time', 'feder', 'william']","roger, federer, struggle","['roger', 'feder', 'william', 'serv', 'vice', 'versa']"
"As China Talks Begin, Trump’s Trade Negotiator Tries to Keep President From Wavering","Robert Lighthizer, the United States trade representative and a China skeptic, wants to prevent an anxious president from making a quick, empty deal in a rush to calm the markets.","WASHINGTON — In the middle of his crowded dinner in Buenos Aires with President Xi Jinping of China, President Trump leaned across the table, pointed to Robert Lighthizer, the United States trade representative whose skepticism of China runs deep, and declared, “That’s my negotiator!”",International Trade and World Market,News,"president, china, washington","['washington', '—', 'middl', 'dinner', 'air', 'presid', 'xi', 'jinp', 'china', 'presid', 'trump', 'tabl', 'state', 'skeptic', 'china', 'run', '“', 'negoti', '”']","robert, lighthizer, united","['robert', 'state', 'repres', 'presid', 'deal', 'rush', 'market']","china, talk, begin","['talk', '’', 'trade', 'negoti', 'presid']"
"Log Cabins? No, These Wooden Buildings Are High-Rises","Seeking greener projects, builders are choosing timber for offices and apartments, rather than the concrete and steel that dominated construction for decades.",Developers have not used wood for much other than houses since the horse-and-buggy days. But the knotty building material is making a comeback.,Wood and Wood Products,News,"developer, used, wood","['develop', 'wood', 'hous', 'day', 'build', 'materi', 'comeback']","seeking, greener, project","['greener', 'project', 'builder', 'timber', 'offic', 'apart', 'concret', 'steel', 'construct', 'decad']","log, cabin, wooden","['log', 'build', 'highris']"
Curbs on A.I. Exports? Silicon Valley Fears Losing Its Edge,The Commerce Department is considering national security restrictions on artificial intelligence. Some worry they could stunt the industry in the U.S.,SAN FRANCISCO — A common belief among tech industry insiders is that Silicon Valley has dominated the internet because much of the worldwide network was designed and built by Americans.,International Trade and World Market,News,"san, francisco, common","['francisco', '—', 'belief', 'industri', 'insid', 'silicon', 'valley', 'internet', 'worldwid', 'network', 'american']","commerce, department, considering","['commerc', 'depart', 'secur', 'restrict', 'intellig', 'industri']","curb, export, silicon","['curb', 'export', 'fear', 'edg']"
Who Will Be Nominated for Best Director?,"Your Carpetbagger weighs the odds of 11 directors, including veterans like Spike Lee and would-be first-timers like Bo Burnham.","There are but two guarantees in this year’s Oscar race for best director: Bradley Cooper and Alfonso Cuarón will be nominated for “A Star Is Born” and “Roma,” respectively.",Movies,News,"two, guarantee, year","['guarante', 'year', 'oscar', 'race', 'director', 'bradley', 'cooper', 'alfonso', 'cuarón', '“', 'star', '”', '“', '”']","like, carpetbagger, weighs","['carpetbagg', 'odd', 'director', 'veteran', 'spike', 'lee', 'firsttim', 'bo', 'burnham']","nominated, best, director",['director']
"Norman Gimbel, 91, Grammy and Oscar-Winning Lyricist, Is Dead",He wrote lyrics for “The Girl From Ipanema” and “Killing Me Softly” and for the themes to the TV sitcoms “Happy Days” and “Laverne and Shirley.”,"Norman Gimbel, the wildly versatile Brooklyn-born lyricist who won a Grammy Award for a blues hit, “Killing Me Softly With His Song”; an Oscar for a folk ballad, “It Goes Like It Goes” (from “Norma Rae”); and television immortality for the bouncy series themes to “Happy Days” and “Laverne and Shirley,” died on Dec. 19 at his home in Montecito, Calif. He was 91.","GIMBEL, NORMAN",Obituary (Obit),"go, norman, gimbel","['lyricist', 'award', 'blue', 'song', 'oscar', 'folk', 'ballad', '“', '”', 'televis', 'immort', 'bounci', 'seri', 'theme', 'day', '”', '“', 'lavern', 'shirley', '”', 'dec', 'home', 'montecito', 'calif']","wrote, lyric, girl","['lyric', 'girl', 'ipanema', '”', '“', 'theme', 'tv', 'sitcom', 'day', '”', '“', 'lavern', 'shirley', '”']","norman, gimbel, 91","['gimbel', 'grammi', 'lyricist']"
